tpep_pickup_datetime,PULocationID,DOLocationID,trip_distance,fare_amount,fare_z_score,dist_z_score
2024-01-24 04:31:22,48,265,155.56,450.0,24.99,0.66
2024-01-12 13:29:16,265,265,0.0,450.0,24.99,-0.02
2024-01-14 07:58:46,132,132,77.99,450.0,24.99,0.32
2024-01-08 23:06:50,132,132,0.0,450.0,24.99,-0.02
2024-01-16 16:39:23,132,265,59.62,450.0,24.99,0.24
2024-01-09 13:47:03,132,265,66.8,446.1,24.77,0.28
2024-01-06 07:21:18,132,265,74.98,442.6,24.56,0.31
2024-01-01 23:25:01,132,265,77.26,442.6,24.56,0.32
2024-01-09 19:26:01,132,265,73.32,439.1,24.36,0.3
2024-01-15 00:51:27,45,265,57.01,435.0,24.12,0.23
2024-01-24 20:03:12,138,265,67.24,433.5,24.04,0.28
2024-01-04 17:47:49,265,265,0.0,430.0,23.83,-0.02
2024-01-23 11:31:03,132,265,75.85,428.6,23.75,0.31
2024-01-20 17:58:28,132,265,76.22,425.8,23.59,0.32
2024-01-11 13:53:31,132,265,79.13,423.0,23.43,0.33
2024-01-10 13:46:13,138,265,60.0,420.9,23.31,0.25
2024-01-04 09:46:25,14,14,0.0,417.0,23.08,-0.02
2024-01-03 10:22:19,132,265,72.1,416.7,23.06,0.3
2024-01-05 15:22:19,132,265,69.1,413.2,22.86,0.29
2024-01-24 21:57:55,138,265,64.29,413.2,22.86,0.26
2024-01-20 15:47:51,92,265,62.3,411.1,22.74,0.26
2024-01-30 15:01:41,132,41,67.61,410.4,22.7,0.28
2024-01-21 16:31:28,265,265,0.0,409.0,22.62,-0.02
2024-01-10 22:37:43,132,265,71.93,409.0,22.62,0.3
2024-01-23 18:49:37,70,265,64.67,404.1,22.33,0.27
2024-01-01 13:30:08,132,265,67.84,404.1,22.33,0.28
