PULocationID,DOLocationID,total_trips,gross_revenue,revenue_rank
51,75,14,690.14,3
51,51,18,535.44,4
51,74,14,523.94,5
52,33,99,1058.91,1
52,162,20,966.07,2
52,233,18,875.37,3
52,140,15,782.34,4
52,231,27,707.0,5
53,53,4,237.6,1
53,265,1,141.82,2
53,231,2,141.75,3
53,75,3,139.82,4
53,186,2,122.16,5
54,1,2,243.3,1
54,162,4,187.93,2
54,265,1,175.75,3
54,54,6,151.59,4
54,132,1,100.5,5
55,140,15,864.82,1
55,55,14,537.21,2
55,170,8,439.88,3
55,237,7,424.26,4
55,76,9,360.59,5
56,107,8,640.34,1
56,230,6,517.91,2
56,234,6,508.42,3
56,170,10,447.02,4
56,211,4,366.73,5
57,57,1,71.5,1
57,123,1,64.54,2
57,90,1,45.62,3
57,192,2,37.06,4
57,145,1,29.9,5
58,265,1,117.12,1
58,41,1,57.96,2
58,233,1,40.0,3
58,208,1,17.0,4
58,235,2,0.0,5
59,49,1,54.94,1
59,138,1,48.5,2
60,88,8,379.76,1
60,76,4,223.32,2
60,97,3,147.94,3
60,42,5,133.0,4
60,60,5,131.8,5
61,61,97,2356.74,1
61,132,29,1550.82,2
61,75,25,1176.95,3
61,138,21,1050.54,4
61,76,35,845.21,5
62,62,25,839.07,1
62,61,28,509.57,2
62,140,11,496.32,3
62,75,10,465.27,4
62,68,11,453.63,5
63,75,10,501.88,1
63,201,8,274.4,2
63,63,11,205.77,3
63,76,9,169.54,4
63,164,4,167.9,5
64,64,6,255.28,1
64,162,4,219.76,2
64,69,4,179.88,3
64,265,4,158.74,4
64,233,2,127.48,5
65,132,40,3213.07,1
65,65,70,1997.92,2
65,138,31,1553.63,3
65,68,30,1108.84,4
65,231,37,1094.14,5
66,132,17,1420.46,1
66,33,24,947.28,2
66,161,21,828.62,3
66,230,22,827.58,4
66,255,27,634.21,5
67,87,15,591.04,1
67,79,7,270.94,2
67,230,3,188.68,3
67,68,4,175.2,4
67,229,3,139.01,5
68,230,3864,77894.44,1
68,48,4120,71297.38,2
68,68,4178,67647.95,3
68,161,2709,61994.13,4
68,170,2707,55699.94,5
69,137,9,329.88,1
69,42,15,309.71,2
69,61,5,308.76,3
69,140,10,304.88,4
69,69,16,294.28,5
70,230,814,59446.99,1
70,161,470,32467.35,2
70,164,370,24878.7,3
70,265,178,23554.85,4
70,162,355,23488.9,5
71,39,23,601.94,1
71,188,29,585.62,2
71,130,11,466.98,3
71,71,20,395.57,4
71,61,18,393.42,5
72,75,11,629.51,1
72,188,34,607.42,2
72,140,13,590.38,3
72,168,9,508.88,4
72,142,10,479.88,5
73,14,3,166.0,1
73,226,5,156.22,2
73,74,3,128.82,3
73,25,3,120.0,4
73,73,3,98.5,5
74,74,684,10986.94,1
74,75,947,10753.18,2
74,263,453,6776.1,3
74,236,287,5443.36,4
74,42,325,4936.82,5
75,236,1668,23731.92,1
75,75,1640,20698.22,2
75,238,1290,20014.62,3
75,74,1576,18555.6,4
75,263,1132,16715.63,5
76,76,86,1495.31,1
76,137,17,868.32,2
76,61,33,831.64,3
76,75,14,808.85,4
76,140,11,644.94,5
77,151,8,453.88,1
77,76,19,344.6,2
77,137,7,341.44,3
77,170,6,272.94,4
77,162,6,268.0,5
78,42,13,376.88,1
78,75,7,243.41,2
78,78,12,201.72,3
78,137,5,191.88,4
78,37,4,186.94,5
79,79,4424,65232.17,1
79,170,3231,58103.51,2
79,107,3712,51333.98,3
79,249,2668,46797.3,4
79,148,2659,41071.01,5
80,80,70,1647.89,1
80,132,22,1584.19,2
80,201,10,689.0,3
80,79,16,616.88,4
80,256,23,591.26,5
81,81,6,432.5,1
81,65,6,389.64,2
81,246,6,345.18,3
81,42,6,228.94,4
81,244,5,209.0,5
82,82,65,1259.09,1
82,137,20,1058.88,2
82,162,9,748.75,3
82,170,8,646.2,4
82,164,7,547.95,5
83,83,37,2323.63,1
83,138,11,782.54,2
83,132,4,386.58,3
83,265,1,344.25,4
83,129,10,259.49,5
84,84,2,75.9,1
85,137,9,363.82,1
85,39,12,264.99,2
85,85,8,242.8,3
85,265,2,213.24,4
85,107,5,207.48,5
86,86,22,611.71,1
86,231,7,508.0,2
86,159,7,472.3,3
86,61,10,466.0,4
86,210,9,417.0,5
87,132,243,21741.72,1
87,79,576,14225.79,2
87,138,171,12585.89,3
87,162,338,11447.64,4
87,161,301,11104.26,5
88,230,266,10192.42,1
88,162,216,7640.9,2
88,132,81,7243.37,3
88,138,95,7078.52,4
88,161,184,7069.93,5
89,89,57,1794.76,1
89,132,11,793.56,2
89,49,20,439.74,3
89,75,9,438.88,4
89,170,10,427.7,5
90,68,2834,39707.85,1
90,246,2403,37247.69,2
90,249,2670,36630.1,3
90,132,399,36574.04,4
90,170,1738,32554.23,5
91,91,45,830.94,1
91,89,35,663.47,2
91,106,19,566.4,3
91,137,10,461.94,4
91,140,9,442.1,5
92,163,20,971.66,1
92,92,28,887.72,2
92,265,2,613.28,3
92,132,7,327.01,4
92,18,5,306.31,5
93,132,51,3598.43,1
93,230,22,2150.26,2
93,265,11,1785.34,3
93,93,31,1423.82,4
93,262,11,1031.94,5
94,145,8,345.64,1
94,94,4,224.0,2
94,170,4,159.0,3
94,174,5,99.1,4
94,97,1,87.83,5
95,132,30,2028.15,1
95,95,94,1772.01,2
95,140,13,598.93,3
95,237,15,585.58,4
95,127,9,421.7,5
96,132,2,133.8,1
96,76,2,119.3,2
96,258,2,108.33,3
96,96,3,76.5,4
96,150,1,69.95,5
97,97,69,1300.99,1
97,79,26,697.92,2
97,138,14,648.74,3
97,132,9,647.41,4
97,49,43,604.63,5
98,98,13,335.23,1
98,13,5,268.88,2
98,80,5,196.5,3
98,175,2,172.17,4
98,231,3,166.88,5
100,132,610,54314.76,1
100,161,3342,52497.21,2
100,230,3234,49138.28,3
100,138,645,46006.65,4
100,163,2174,37635.15,5
101,95,4,147.35,1
101,238,2,123.88,2
101,162,2,113.88,3
101,101,6,100.21,4
101,132,1,79.32,5
102,102,6,150.7,1
102,68,3,124.88,2
102,10,4,124.0,3
102,95,5,107.98,4
102,96,2,104.9,5
105,148,1,18.48,1
106,55,10,380.0,1
106,91,7,258.5,2
106,142,4,202.35,3
106,42,4,193.88,4
106,143,3,164.99,5
107,170,4906,72615.32,1
107,162,2488,44311.48,2
107,79,2962,43378.13,3
107,161,1947,39836.06,4
107,237,1550,37410.13,5
108,72,10,347.83,1
108,140,6,328.82,2
108,170,6,321.88,3
108,75,4,232.0,4
108,121,3,167.0,5
109,1,1,111.48,1
111,111,1,90.0,1
112,112,86,2108.42,1
112,132,10,701.6,2
112,229,18,615.83,3
112,79,20,571.42,4
112,255,37,557.43,5
113,170,1760,34060.09,1
113,79,2239,32898.5,2
113,234,1955,28978.37,3
113,231,1510,28541.34,4
113,249,1979,28051.94,5
114,79,2527,39017.62,1
114,249,2199,32800.19,2
114,170,1529,32515.4,3
114,234,1775,29738.43,4
114,107,1722,29139.28,5
115,75,1,73.02,1
115,115,1,22.15,2
116,116,186,3855.46,1
116,166,172,2256.83,2
116,238,89,2153.13,3
116,239,78,2123.44,4
116,41,129,2014.67,5
117,117,27,706.47,1
117,181,9,635.69,2
117,76,12,490.07,3
117,61,10,465.11,4
117,209,6,414.35,5
118,118,5,588.55,1
118,47,1,155.52,2
118,14,1,103.94,3
118,151,1,89.1,4
118,6,1,15.47,5
119,119,26,324.92,1
119,166,8,207.14,2
119,48,5,168.0,3
119,137,4,154.8,4
119,162,3,152.15,5
120,120,2,200.6,1
120,244,2,114.13,2
120,243,2,107.92,3
120,127,1,86.0,4
120,87,1,60.44,5
121,242,10,419.64,1
121,121,15,319.93,2
121,108,6,319.5,3
121,258,10,275.5,4
121,72,6,222.0,5
122,107,5,235.0,1
122,75,3,169.82,2
122,231,3,165.94,3
122,50,2,141.88,4
122,181,3,134.0,5
123,75,10,597.94,1
123,123,13,341.57,2
123,76,5,194.0,3
123,231,5,171.0,4
123,170,3,161.19,5
124,265,3,730.05,1
124,124,12,575.13,2
124,87,6,452.54,3
124,216,6,184.5,4
124,89,3,168.83,5
125,249,930,12249.55,1
125,231,792,11419.33,2
125,132,124,11302.83,3
125,68,587,11272.53,4
125,234,616,10982.77,5
126,126,9,196.05,1
126,88,4,191.76,2
126,137,5,170.94,3
126,142,3,98.94,4
126,243,3,87.64,5
127,127,34,1833.15,1
127,14,24,1512.22,2
127,244,25,470.03,3
127,42,13,293.39,4
127,41,9,236.25,5
128,218,2,120.0,1
128,128,2,105.24,2
128,50,2,90.07,3
128,76,1,66.94,4
128,72,1,63.0,5
128,149,1,63.0,5
129,129,240,3216.26,1
129,138,44,2620.74,2
129,132,15,951.07,3
129,265,5,950.25,4
129,230,12,726.33,5
130,130,82,1565.36,1
130,164,11,1141.17,2
130,230,14,1119.53,3
130,265,6,975.26,4
130,132,18,957.86,5
131,131,24,512.52,1
131,25,10,473.5,2
131,137,7,350.7,3
131,45,5,288.82,4
131,75,4,205.88,5
132,265,6011,699422.34,1
132,230,5859,535610.67,2
132,48,3237,293604.62,3
132,164,3039,285095.07,4
132,132,7252,236652.69,5
133,133,14,661.44,1
133,140,6,270.76,2
133,132,2,202.38,3
133,68,3,141.28,4
133,186,3,131.33,5
134,132,70,5517.88,1
134,134,32,1534.28,2
134,197,25,1299.95,3
134,247,10,451.88,4
134,41,4,318.7,5
135,135,11,545.0,1
135,265,12,418.0,2
135,151,6,287.26,3
135,107,3,236.3,4
135,220,4,235.74,5
136,136,6,530.2,1
136,61,5,291.82,2
136,137,4,206.57,3
136,76,2,155.94,4
136,74,5,138.12,5
137,79,2019,31075.56,1
137,162,1829,28763.69,2
137,170,1975,26559.46,3
137,229,1456,23439.08,4
137,186,1304,22949.11,5
138,230,5442,408214.94,1
138,161,3271,239454.91,2
138,265,1431,197367.58,3
138,162,2583,176933.04,4
138,163,2267,170320.7,5
139,213,17,991.22,1
139,49,9,372.0,2
139,151,5,361.32,3
139,188,6,248.0,4
139,71,5,236.26,5
140,236,6099,107218.87,1
140,237,5068,79117.48,2
140,162,3631,72429.28,3
140,263,4341,65820.41,4
140,262,4223,60443.4,5
141,236,7803,122660.63,1
141,237,6022,83612.13,2
141,263,5016,73612.03,3
141,141,5156,72864.62,4
141,229,4154,62163.96,5
142,239,8980,131928.01,1
142,236,5971,123790.29,2
142,238,7073,121643.89,3
142,237,6059,104123.24,4
142,161,4467,80566.4,5
143,239,3815,52029.06,1
143,238,2921,46981.3,2
143,236,1667,36226.03,3
143,142,2619,34017.07,4
143,143,2029,28776.52,5
144,79,1689,26236.79,1
144,230,768,23248.44,2
144,170,903,20143.45,3
144,231,1278,19261.49,4
144,249,1156,19127.58,5
145,145,1276,12793.55,1
145,132,119,10763.87,2
145,138,62,4222.31,3
145,230,35,2841.75,4
145,164,37,2371.08,5
146,138,39,1999.41,1
146,146,135,1781.72,2
146,7,116,1490.82,3
146,132,20,1482.35,4
146,223,64,1175.09,5
147,147,7,426.24,1
147,19,4,198.82,2
147,265,1,191.4,3
147,76,3,168.38,4
147,68,4,156.41,5
148,79,2402,34978.41,1
148,107,1318,22881.22,2
148,148,1139,22268.14,3
148,170,977,21762.33,4
148,249,974,18869.02,5
149,233,13,621.2,1
149,149,9,340.73,2
149,170,6,278.88,3
149,41,4,267.94,4
149,137,4,168.0,5
150,238,4,270.94,1
150,159,2,188.86,2
150,150,7,151.3,3
150,75,2,131.94,4
150,140,2,123.44,5
151,239,3031,47444.15,1
151,238,2943,37604.55,2
151,142,1593,32316.66,3
151,236,1416,26533.26,4
151,166,1575,17838.45,5
152,238,127,2400.48,1
152,74,140,2238.26,2
152,166,211,2230.58,3
152,239,88,2060.38,4
152,48,62,1920.63,5
153,132,1,107.46,1
153,153,4,104.0,2
153,37,1,97.33,3
153,51,2,76.0,4
153,151,2,72.6,5
154,89,5,178.96,1
154,150,4,127.4,2
154,14,2,115.2,3
154,6,1,115.0,4
154,76,2,104.04,5
155,265,2,748.73,1
155,75,10,668.32,2
155,155,22,542.2,3
155,137,8,353.94,4
155,132,4,302.13,5
156,156,2,9.0,1
156,133,2,0.0,2
157,132,29,2777.84,1
157,157,40,775.92,2
157,170,7,454.4,3
157,164,6,434.76,4
157,230,5,397.44,5
158,231,1267,24190.04,1
158,68,1250,19456.25,2
158,132,206,19392.33,3
158,246,1132,18713.45,4
158,79,910,18546.85,5
159,159,23,525.55,1
159,75,21,463.97,2
159,35,4,266.88,3
159,168,16,261.36,4
159,86,4,258.0,5
160,132,14,1313.67,1
160,160,15,517.45,2
160,1,1,175.76,3
160,68,5,172.88,4
160,48,2,105.96,5
161,138,2699,192708.5,1
161,236,8766,189242.09,2
161,237,10275,171958.44,3
161,132,1706,155476.91,4
161,234,5274,98004.88,5
162,236,5465,115475.01,1
162,138,1665,110827.14,2
162,132,1185,107650.52,3
162,237,6301,102396.26,4
162,141,4649,78781.28,5
163,138,1538,108313.42,1
163,132,1209,107897.23,2
163,236,5383,106785.22,3
163,237,5238,80869.39,4
163,161,4742,68431.28,5
164,132,1004,89920.04,1
164,161,4192,66387.96,2
164,138,900,59875.95,3
164,230,3008,52793.17,4
164,170,3338,45099.29,5
165,165,27,676.8,1
165,140,8,380.82,2
165,76,11,349.0,3
165,132,5,320.91,4
165,75,6,311.88,5
166,239,1283,26271.26,1
166,238,1553,24722.77,2
166,142,713,17972.71,3
166,166,1171,16454.26,4
166,236,618,14533.64,5
167,137,17,664.02,1
167,231,9,403.86,2
167,167,19,375.53,3
167,68,9,341.94,4
167,50,8,285.0,5
168,168,194,3882.48,1
168,265,5,2492.57,2
168,42,36,581.82,3
168,185,16,524.92,4
168,74,22,382.1,5
169,242,9,244.5,1
169,51,7,236.86,2
169,137,5,222.34,3
169,41,7,202.88,4
169,231,4,192.94,5
170,132,1019,91832.83,1
170,237,3385,67930.14,2
170,236,2559,65204.66,3
170,138,998,64564.1,4
170,161,3796,61564.06,5
171,171,9,302.24,1
171,263,5,206.82,2
171,137,4,176.88,3
171,257,3,156.0,4
171,163,3,141.44,5
172,76,1,100.0,1
172,97,1,100.0,1
173,173,13,323.55,1
173,161,3,166.04,2
173,13,2,122.53,3
173,226,3,105.66,4
173,129,7,101.06,5
174,174,4,292.9,1
174,209,5,256.94,2
174,55,3,253.82,3
174,48,4,178.0,4
174,130,4,141.34,5
175,218,16,560.5,1
175,175,7,208.71,2
175,162,2,106.88,3
175,36,2,74.0,4
175,64,1,71.5,5
176,79,1,83.75,1
176,84,1,39.3,2
177,61,21,444.74,1
177,42,7,400.36,2
177,130,12,395.0,3
177,177,18,385.24,4
177,191,7,279.48,5
178,137,7,293.88,1
178,178,3,222.79,2
178,123,7,170.15,3
178,170,3,126.0,4
178,158,3,112.94,5
179,179,68,1886.08,1
179,7,80,879.5,2
179,132,8,569.28,3
179,223,48,562.17,4
179,145,21,389.78,5
180,116,7,419.26,1
180,132,6,393.23,2
180,180,14,248.53,3
180,45,4,156.0,4
180,216,10,152.9,5
181,181,125,3089.29,1
181,132,18,1160.28,2
181,89,49,1075.68,3
181,138,18,964.79,4
181,61,37,703.23,5
182,140,9,362.42,1
182,163,8,354.76,2
182,75,9,327.47,3
182,137,7,306.53,4
182,42,9,266.66,5
183,75,4,186.13,1
183,86,3,185.44,2
183,35,2,111.88,3
183,244,3,104.21,4
183,68,2,94.0,5
184,107,1,43.0,1
184,75,1,36.0,2
185,185,6,535.0,1
185,168,15,467.0,2
185,42,5,163.14,3
185,86,2,130.94,4
185,137,3,128.01,5
186,230,7085,130160.47,1
186,161,6056,115242.09,2
186,170,5260,90676.08,3
186,162,3448,72907.52,4
186,163,3365,71222.18,5
187,187,2,243.02,1
188,137,25,924.16,1
188,188,42,865.79,2
188,140,19,824.73,3
188,132,12,687.8,4
188,138,12,633.63,5
189,132,13,871.33,1
189,189,18,821.55,2
189,138,13,658.98,3
189,242,9,532.14,4
189,181,30,458.93,5
190,132,2,116.83,1
190,190,4,80.12,2
190,50,1,73.58,3
190,48,1,71.76,4
190,61,4,70.24,5
191,191,17,507.45,1
191,42,9,459.88,2
191,132,12,424.93,3
191,140,7,412.76,4
191,89,7,373.0,5
192,89,4,200.0,1
192,132,4,166.88,2
192,238,2,147.39,3
192,68,1,101.17,4
192,98,4,85.0,5
193,193,1589,6748.24,1
193,132,23,1589.78,2
193,145,59,824.54,3
193,7,68,493.63,4
193,129,15,476.09,5
194,263,7,535.61,1
194,141,5,408.0,2
194,132,4,395.18,3
194,239,4,393.02,4
194,262,4,322.82,5
195,132,19,1807.61,1
195,138,22,1794.89,2
195,1,7,1048.14,3
195,195,32,917.06,4
195,265,7,734.52,5
196,132,18,1325.52,1
196,196,26,902.81,2
196,95,27,469.24,3
196,90,5,407.89,4
196,162,4,312.45,5
197,132,57,4744.4,1
197,197,95,3221.62,2
197,216,43,1171.74,3
197,203,18,569.41,4
197,242,12,562.59,5
198,198,21,636.55,1
198,265,1,421.2,2
198,170,7,276.59,3
198,138,6,257.06,4
198,80,10,221.63,5
199,138,2,20.4,1
200,200,10,497.37,1
200,230,5,226.16,2
200,48,4,187.66,3
200,100,4,174.36,4
200,237,4,168.06,5
201,201,11,358.98,1
201,88,3,200.14,2
201,158,2,140.94,3
201,80,2,132.0,4
201,137,2,128.94,5
202,202,16,786.93,1
202,132,8,701.85,2
202,138,5,228.82,3
202,244,5,221.27,4
202,162,6,215.8,5
203,265,20,1332.06,1
203,137,13,748.64,2
203,75,10,617.2,3
203,203,23,477.44,4
203,197,8,249.0,5
204,82,1,77.71,1
205,205,23,1185.84,1
205,65,16,824.5,2
205,140,11,626.58,3
205,75,10,574.82,4
205,137,11,572.7,5
206,206,2,113.83,1
206,249,1,58.33,2
206,29,1,40.6,3
206,108,1,39.94,4
206,21,1,3.99,5
207,207,164,835.4,1
207,138,5,475.1,2
207,230,2,128.02,3
207,231,2,118.44,4
207,229,2,107.69,5
208,208,16,484.72,1
208,68,9,405.0,2
208,75,6,234.94,3
208,42,4,173.5,4
208,244,4,143.27,5
209,132,65,5844.98,1
209,79,211,5033.7,2
209,170,128,3994.97,3
209,138,52,3730.2,4
209,148,194,3537.71,5
210,75,11,719.88,1
210,210,11,506.58,2
210,140,8,502.76,3
210,161,4,255.88,4
210,196,5,254.8,5
211,79,1057,17747.32,1
211,249,1159,17253.51,2
211,230,561,16072.48,3
211,231,1045,15777.81,4
211,234,763,14455.16,5
212,37,4,186.88,1
212,212,10,184.9,2
212,68,4,157.0,3
212,141,4,138.88,4
212,87,2,120.84,5
213,139,13,714.84,1
213,213,22,456.23,2
213,170,12,443.82,3
213,125,9,407.94,4
213,42,12,339.41,5
214,22,1,37.68,1
214,89,1,36.94,2
214,178,1,35.67,3
214,21,1,32.32,4
215,230,17,1658.26,1
215,170,17,1321.77,2
215,161,12,997.21,3
215,48,9,957.57,4
215,215,41,907.01,5
216,132,175,13149.27,1
216,216,193,9630.4,2
216,265,13,2478.36,3
216,1,6,1477.59,4
216,264,9,533.48,5
217,217,21,651.48,1
217,265,1,209.47,2
217,134,5,190.0,3
217,26,5,170.06,4
217,170,4,163.75,5
218,218,27,1039.64,1
218,244,11,670.64,2
218,175,17,627.5,3
218,42,11,609.9,4
218,265,3,609.34,5
219,265,33,4900.66,1
219,219,46,1305.07,2
219,48,11,938.43,3
219,75,14,925.21,4
219,65,13,680.94,5
220,220,22,3013.4,1
220,244,9,231.0,2
220,132,2,227.8,3
220,130,3,189.88,4
220,231,4,183.36,5
221,29,1,36.4,1
221,221,3,34.08,2
222,87,12,694.44,1
222,140,7,455.91,2
222,170,7,400.08,3
222,60,7,398.88,4
222,265,2,314.26,5
223,223,105,2834.75,1
223,265,16,2758.93,2
223,138,32,1402.63,3
223,132,13,909.33,4
223,262,11,832.85,5
224,170,245,4161.11,1
224,224,101,2967.82,2
224,162,144,2758.3,3
224,107,206,2678.79,4
224,140,112,2574.94,5
225,225,55,1376.3,1
225,132,10,521.77,2
225,138,10,477.96,3
225,75,11,455.46,4
225,140,13,439.14,5
226,132,139,11989.16,1
226,226,446,7290.03,2
226,138,69,4502.5,3
226,161,85,2817.28,4
226,265,12,2036.44,5
227,227,8,446.24,1
227,91,6,165.0,2
227,140,3,129.82,3
227,228,6,122.5,4
227,216,2,113.0,5
228,228,21,532.68,1
228,137,10,460.34,2
228,132,4,399.48,3
228,79,7,363.59,4
228,107,5,231.61,5
229,237,4088,66100.95,1
229,236,3027,63996.2,2
229,140,3548,54154.41,3
229,141,3609,53082.64,4
229,263,2297,43032.44,5
230,138,3712,272560.89,1
230,132,2785,253483.17,2
230,1,912,110620.16,3
230,186,5944,95148.14,4
230,230,4156,84785.72,5
231,231,2350,38861.93,1
231,249,1902,31706.72,2
231,161,910,30534.17,3
231,234,1273,28559.2,4
231,230,898,27964.17,5
232,232,207,4900.32,1
232,79,232,4257.05,2
232,132,37,2983.61,3
232,148,132,2781.41,4
232,230,76,2519.25,5
233,132,704,63688.55,1
233,138,750,48570.74,2
233,161,1639,27101.41,3
233,141,1556,26942.25,4
233,140,1443,26725.33,5
234,170,4660,73466.72,1
234,161,3408,65122.01,2
234,68,3320,54591.23,3
234,230,2368,48782.6,4
234,79,2817,48758.67,5
235,234,12,479.88,1
235,235,15,376.96,2
235,72,5,329.76,3
235,55,4,292.94,4
235,29,4,292.0,5
236,237,19402,308079.92,1
236,236,15955,208219.39,2
236,161,7115,151100.71,3
236,239,6808,116598.79,4
236,162,5473,113467.08,5
237,236,21883,339380.76,1
237,237,14938,202110.11,2
237,161,8834,143087.47,3
237,162,7604,120541.05,4
237,142,6016,105426.35,5
238,239,7007,94240.23,1
238,142,5525,92966.28,2
238,236,5213,86943.74,3
238,238,4273,58328.04,4
238,237,2662,57814.67,5
239,142,8675,124318.88,1
239,238,8445,114872.86,2
239,236,6135,107289.66,3
239,239,5808,80441.73,4
239,237,4015,78229.9,5
240,202,8,362.7,1
240,7,3,125.88,2
240,48,1,51.18,3
